1.7_t,3.2_t,31.4_t
89.426,75.09,18.422
89.517,75.276,18.694
89.604,75.456,18.962
89.685,75.63,19.234
89.769,75.816,19.507
89.836,75.99,19.777
89.912,76.157,20.049
89.998,76.331,20.323
90.073,76.503,20.586
90.146,76.671,20.856
90.225,76.834,21.13
90.305,76.999,21.396
90.375,77.165,21.664
90.443,77.324,21.936
90.515,77.486,22.202
90.585,77.644,22.466
90.66,77.798,22.745
90.736,77.959,23.021
90.805,78.108,23.288
90.877,78.271,23.569
90.942,78.427,23.842
91.014,78.587,24.129
91.092,78.748,24.414
91.161,78.896,24.699
91.223,79.047,24.994
91.31,79.234,25.293
91.373,79.379,25.577
91.426,79.512,25.865
91.493,79.66,26.152
91.568,79.807,26.439
91.64,79.961,26.724
91.698,80.099,27.011
91.759,80.244,27.295
91.83,80.386,27.574
91.879,80.518,27.855
91.945,80.658,28.137
92.018,80.804,28.423
92.072,80.937,28.7
92.122,81.065,28.987
92.192,81.209,29.28
92.25,81.34,29.556
92.314,81.471,29.845
92.368,81.609,30.138
92.435,81.746,30.426
92.496,81.874,30.719
92.545,82.002,31.013
92.598,82.13,31.311
92.665,82.274,31.616
92.722,82.404,31.917
92.78,82.538,32.21
92.824,82.655,32.497
92.876,82.782,32.794
92.934,82.906,33.083
93.004,83.038,33.385
93.062,83.174,33.688
93.115,83.293,33.978
93.159,83.411,34.267
93.211,83.531,34.558
93.26,83.646,34.846
93.314,83.772,35.136
93.372,83.887,35.432
93.419,83.998,35.725
93.466,84.119,36.02
93.51,84.23,36.314
93.565,84.343,36.613
93.626,84.476,36.923
93.68,84.596,37.228
93.736,84.712,37.537
93.777,84.825,37.845
93.828,84.938,38.156
93.884,85.071,38.475
93.932,85.181,38.786
93.985,85.307,39.095
94.029,85.416,39.404
94.08,85.526,39.709
94.121,85.623,40.002
94.167,85.736,40.305
94.221,85.851,40.611
94.264,85.959,40.904
94.308,86.07,41.203
94.371,86.182,41.508
94.405,86.279,41.805
94.444,86.391,42.104
94.489,86.485,42.403
94.543,86.597,42.714
94.592,86.7,43.013
94.646,86.813,43.321
94.681,86.913,43.626
94.731,87.024,43.939
94.769,87.125,44.247
94.812,87.225,44.562
94.864,87.34,44.887
94.911,87.447,45.195
94.958,87.553,45.5
95.013,87.659,45.815
95.039,87.753,46.115
95.085,87.859,46.425
95.128,87.953,46.733
95.178,88.055,47.041
95.219,88.161,47.354
95.261,88.254,47.661
95.306,88.351,47.955
95.346,88.451,48.262
95.39,88.553,48.575
95.438,88.649,48.882
95.477,88.748,49.197
95.517,88.84,49.501
95.558,88.936,49.817
95.602,89.037,50.134
95.634,89.136,50.453
95.686,89.246,50.775
95.738,89.343,51.099
95.792,89.45,51.428
95.824,89.539,51.752
95.868,89.633,52.072
95.92,89.738,52.394
95.949,89.827,52.715
95.99,89.917,53.032
96.04,90.025,53.351
96.083,90.131,53.668
96.121,90.219,53.992
96.161,90.302,54.3
96.208,90.399,54.623
96.251,90.485,54.945
96.288,90.59,55.278
96.333,90.683,55.592
96.365,90.764,55.916
96.408,90.862,56.236
96.443,90.952,56.558
96.481,91.032,56.885
96.513,91.115,57.216
96.552,91.219,57.561
96.593,91.298,57.89
96.62,91.386,58.231
96.657,91.478,58.562
96.681,91.557,58.884
96.722,91.644,59.213
96.758,91.725,59.528
96.79,91.811,59.853
96.822,91.89,60.172
96.852,91.975,60.493
96.878,92.053,60.812
96.909,92.126,61.131
96.935,92.204,61.43
96.97,92.285,61.743
97.003,92.368,62.067
97.029,92.442,62.379
97.06,92.513,62.695
97.09,92.59,63.016
97.112,92.667,63.335
97.139,92.741,63.644
97.166,92.818,63.966
97.192,92.902,64.296
97.237,92.984,64.632
97.258,93.057,64.961
97.289,93.135,65.297
97.319,93.211,65.622
97.346,93.283,65.941
97.371,93.35,66.251
97.401,93.423,66.571
97.432,93.497,66.888
97.461,93.581,67.198
97.485,93.655,67.508
97.505,93.721,67.816
97.531,93.788,68.12
97.566,93.863,68.433
97.583,93.929,68.747
