0.8,1.7_t,3.2_t,31.4_t
94.366,59.822,25.194,0.041
94.379,59.929,25.316,0.044
94.397,60.034,25.443,0.037
94.418,60.146,25.574,0.041
94.429,60.254,25.699,0.043
94.444,60.352,25.822,0.043
94.447,60.454,25.949,0.047
94.463,60.556,26.074,0.043
94.482,60.66,26.201,0.046
94.505,60.767,26.324,0.05
94.522,60.87,26.453,0.049
94.536,60.977,26.582,0.049
94.557,61.081,26.709,0.049
94.572,61.185,26.834,0.047
94.591,61.288,26.964,0.055
94.609,61.392,27.095,0.053
94.63,61.505,27.231,0.056
94.649,61.61,27.362,0.055
94.667,61.719,27.499,0.055
94.673,61.821,27.632,0.061
94.695,61.931,27.765,0.06
94.711,62.036,27.904,0.06
94.728,62.148,28.044,0.061
94.743,62.251,28.175,0.063
94.765,62.369,28.31,0.061
94.78,62.462,28.435,0.06
94.794,62.561,28.569,0.064
94.815,62.669,28.711,0.067
94.826,62.778,28.842,0.067
94.836,62.875,28.972,0.072
94.853,62.975,29.099,0.072
94.868,63.072,29.23,0.07
94.89,63.182,29.364,0.069
94.91,63.281,29.492,0.075
94.92,63.382,29.63,0.076
94.943,63.487,29.762,0.076
94.962,63.591,29.897,0.081
94.98,63.696,30.034,0.081
94.987,63.794,30.162,0.087
94.995,63.896,30.296,0.09
95.029,64.003,30.441,0.087
95.045,64.104,30.582,0.087
95.05,64.211,30.724,0.089
95.071,64.313,30.867,0.09
95.081,64.427,31.007,0.095
95.097,64.532,31.152,0.098
95.119,64.639,31.296,0.099
95.14,64.746,31.439,0.104
95.161,64.85,31.581,0.104
95.172,64.957,31.723,0.107
95.197,65.062,31.868,0.108
95.201,65.164,32.01,0.113
95.221,65.263,32.15,0.113
95.241,65.373,32.298,0.117
95.256,65.485,32.448,0.121
95.268,65.59,32.59,0.122
95.29,65.692,32.738,0.127
95.306,65.797,32.887,0.13
95.328,65.91,33.035,0.131
95.345,66.017,33.183,0.133
95.364,66.125,33.337,0.14
95.384,66.235,33.496,0.142
95.387,66.348,33.656,0.143
95.403,66.466,33.815,0.148
95.425,66.574,33.975,0.153
95.436,66.69,34.14,0.159
95.459,66.812,34.314,0.163
95.48,66.939,34.483,0.166
95.488,67.049,34.656,0.174
95.5,67.168,34.83,0.177
95.523,67.296,35.011,0.185
95.538,67.415,35.182,0.189
