1,2,3,4
94.659,89.58,80.972,39.403
94.691,89.65,81.102,39.717
94.737,89.737,81.204,40.031
94.783,89.807,81.334,40.349
94.814,89.879,81.435,40.636
94.867,89.98,81.557,40.945
94.901,90.051,81.673,41.246
94.931,90.125,81.778,41.534
94.978,90.19,81.888,41.833
94.997,90.256,82.002,42.126
95.036,90.331,82.108,42.435
95.055,90.408,82.214,42.726
95.099,90.485,82.32,43.022
95.142,90.553,82.423,43.309
95.164,90.599,82.515,43.597
95.212,90.681,82.637,43.898
95.248,90.753,82.745,44.183
95.277,90.831,82.857,44.476
95.308,90.886,82.95,44.772
95.348,90.97,83.055,45.081
95.386,91.023,83.156,45.367
95.424,91.106,83.264,45.67
95.451,91.165,83.362,45.961
95.483,91.235,83.464,46.249
95.522,91.298,83.571,46.538
95.547,91.362,83.672,46.825
95.583,91.432,83.775,47.112
95.619,91.504,83.884,47.411
95.65,91.562,83.978,47.685
95.694,91.643,84.074,47.955
95.721,91.693,84.157,48.215
95.74,91.742,84.254,48.47
95.755,91.785,84.328,48.714
95.775,91.84,84.396,48.961
95.81,91.895,84.491,49.217
95.831,91.939,84.567,49.46
95.85,92.001,84.653,49.712
95.88,92.043,84.738,49.959
95.909,92.097,84.821,50.206
95.944,92.155,84.906,50.446
95.973,92.203,84.985,50.691
95.975,92.245,85.065,50.932
96.001,92.302,85.144,51.172
96.019,92.346,85.214,51.41
96.056,92.409,85.313,51.666
96.091,92.453,85.396,51.915
96.12,92.505,85.474,52.158
96.133,92.554,85.562,52.408
96.158,92.596,85.64,52.646
96.194,92.653,85.725,52.899
96.22,92.699,85.805,53.152
96.24,92.755,85.898,53.397
96.268,92.819,85.976,53.636
96.28,92.856,86.057,53.885
96.324,92.912,86.14,54.129
96.341,92.958,86.212,54.369
96.365,93.008,86.293,54.596
96.39,93.047,86.374,54.829
96.408,93.095,86.45,55.07
96.436,93.143,86.519,55.299
96.449,93.179,86.592,55.528
96.481,93.228,86.667,55.762
96.495,93.268,86.754,55.986
96.526,93.32,86.83,56.212
96.558,93.367,86.893,56.445
96.579,93.414,86.974,56.674
96.59,93.459,87.041,56.889
96.622,93.503,87.112,57.121
96.637,93.542,87.187,57.356
96.669,93.585,87.262,57.581
96.683,93.625,87.331,57.806
96.713,93.674,87.402,58.04
96.739,93.726,87.474,58.275
96.759,93.767,87.546,58.495
96.788,93.813,87.63,58.727
96.797,93.846,87.686,58.942
96.823,93.88,87.762,59.164
96.844,93.932,87.846,59.395
96.864,93.982,87.917,59.615
96.89,94.017,87.978,59.819
96.93,94.095,88.101,60.172
96.977,94.167,88.24,60.538
96.999,94.2,88.298,60.735
97.028,94.244,88.367,60.939
97.041,94.286,88.429,61.128
97.058,94.319,88.49,61.322
97.081,94.354,88.547,61.513
97.108,94.403,88.628,61.713
